Aalénien_N	aalénien_A
Agnos_X	Agnosien_N
Agnos_X	Agnosienne_N
Agnos_X	agnosien_A
Agnos_X	agnosienne_A
Agny_X	Agnynois_N
Agny_X	Agnynoise_N
Agny_X	agnynois_A
Agny_X	agnynoise_A
Agonac_X	Agonacois_N
Agonac_X	Agonacoise_N
Agonac_X	agonacois_A
Agonac_X	agonacoise_A
Agonges_X	Agongeois_N
Agonges_X	Agongeoise_N
Agonges_X	agongeois_A
Agonges_X	agongeoise_A
Agonès_X	Agonésois_N
Agonès_X	Agonésoise_N
Agonès_X	agonésois_A
Agonès_X	agonésoise_A
Agris_X	Agritaud_N
Agris_X	Agritaude_N
Agris_X	Agritois_N
Agris_X	Agritoise_N
Agris_X	agritaud_A
Agris_X	agritaude_A
Agris_X	agritois_A
Agris_X	agritoise_A
Aguessac_X	Aguessaguais_N
Aguessac_X	Aguessaguaise_N
Aguessac_X	aguessaguais_A
Aguilcourt_X	Aguilcourtois_N
Aguilcourt_X	Aguilcourtoise_N
Aguilcourt_X	aguilcourtois_A
Aguilcourt_X	aguilcourtoise_A
Aguts_X	Agussien_N
Aguts_X	Agussienne_N
Aguts_X	agussien_A
Ahuillé_X	Ahuilléen_N
Ahuillé_X	Ahuilléenne_N
Ahuillé_X	ahuilléen_A
Ahuillé_X	ahuilléenne_A
Ahun_X	Ahunois_N
Ahun_X	Ahunoise_N
Ahun_X	ahunois_A
Ahun_X	ahunoise_A
Ahuy_X	Aqueducien_N
Ahuy_X	Aqueducienne_N
Ahuy_X	aqueducien_A
Ahuy_X	aqueducienne_A
Ahéville_X	Ahévillois_N
Ahéville_X	Ahévilloise_N
Ahéville_X	ahévillois_A
Ahéville_X	ahévilloise_A
Aibes_X	Aibois_N
Aibes_X	Aiboise_N
Aibes_X	aibois_A
Aibes_X	aiboise_A
Aibre_X	Tyintière_N
Aibre_X	tyintière_A
Aiffres_X	Aiffricain_N
Aiffres_X	Aiffricaine_N
Aiffres_X	aiffricain_A
Aiffres_X	aiffricaine_A
Aigaliers_X	Aigaliérois_N
Aigaliers_X	Aigaliéroise_N
Aigaliers_X	aigaliérois_A
Aigaliers_X	aigaliéroise_A
Aiglemont_X	Aiglemontais_N
Aiglemont_X	Aiglemontaise_N
Aiglemont_X	aiglemontais_A
Aiglemont_X	aiglemontaise_A
Aiglepierre_X	Aillepierris_N
Aiglepierre_X	Aillepierrise_N
Aiglepierre_X	aillepierris_A
Aiglepierre_X	aillepierrise_A
Aigleville_X	Aiglevillois_N
Aigleville_X	Aiglevilloise_N
Aigleville_X	aiglevillois_A
Aigleville_X	aiglevilloise_A
Aiglun_X	Aiglenois_N
Aiglun_X	Aiglenoise_N
Aiglun_X	Aiglunais_N
Aiglun_X	Aiglunaise_N
Aiglun_X	aiglenois_A
Aiglun_X	aiglenoise_A
Aiglun_X	aiglunais_A
Aiglun_X	aiglunaise_A
Aignan_N	Aignanais_N
Aignan_N	Aignanaise_N
Aignan_N	aignanais_A
Aigne_X	Aignois_N
Aigne_X	Aignoise_N
Aigne_X	aignois_A
Aignerville_X	Aignervillais_N
Aignerville_X	Aignervillaise_N
Aignerville_X	aignervillais_A
Aignes_X	Aignois_N
Aignes_X	Aignoise_N
Aignes_X	aignois_A
Aigneville_X	Aignevillois_N
Aigneville_X	Aignevilloise_N
Aigneville_X	aignevillois_A
Aigneville_X	aignevilloise_A
Aigny_X	Aquanidien_N
Aigny_X	Aquanidienne_N
Aigny_X	aquanidien_A
Aigny_X	aquanidienne_A
Aigné_X	Aignéen_N
Aigné_X	Aignéenne_N
Aigné_X	aignéen_A
Aigné_X	aignéenne_A
Aigre_X	Aigrinois_N
Aigre_X	Aigrinoise_N
Aigre_X	aigrinois_A
Aigrefeuille_X	Aigrefeuillais_N
Aigrefeuille_X	Aigrefeuillaise_N
Aigrefeuille_X	aigrefeuillais_A
Aigremont_X	Aigremontois_N
Aigremont_X	Aigremontoise_N
Aigremont_X	aigremontois_A
Aigremont_X	aigremontoise_A
Aiguebelle_X	Aiguebellain_N
Aiguebelle_X	Aiguebellaine_N
Aiguebelle_X	Aiguebellin_N
Aiguebelle_X	Aiguebelline_N
Aiguebelle_X	aiguebellain_A
Aiguebelle_X	aiguebellaine_A
Aiguebelle_X	aiguebellin_A
Aiguebelle_X	aiguebelline_A
Aigueblanche_X	Aigueblancherain_N
Aigueblanche_X	Aigueblancheraine_N
Aigueblanche_X	aigueblancherain_A
Aigueblanche_X	aigueblancheraine_A
Aiguefonde_X	Aiguefondais_N
Aiguefonde_X	Aiguefondaise_N
Aiguefonde_X	aiguefondais_A
Aiguefonde_X	aiguefondaise_A
Aigueperse_X	Aiguepersiron_N
Aigueperse_X	Aiguepersironne_N
Aigueperse_X	Aiguepersois_N
Aigueperse_X	Aiguepersoise_N
Aigueperse_X	aiguepersiron_A
Aigueperse_X	aiguepersironne_A
Aigueperse_X	aiguepersois_A
Aigueperse_X	aiguepersoise_A
Aiguilhe_X	Aiguilhais_N
Aiguilhe_X	Aiguilhaise_N
Aiguilhe_X	aiguilhais_A
Aiguilhe_X	aiguilhaise_A
Aiguilles_X	Aiguillon_N
Aiguilles_X	Aiguillonne_N
Aiguilles_X	aiguillon_N
Aiguilles_X	aiguillonne_V
Aiguillon_N	Aiguillonnais_N
Aiguillon_N	Aiguillonnaise_N
Aiguillon_N	aiguillonnais_V
Aiguillon_N	aiguillonnaise_A
Aiguines_X	Aiguinois_N
Aiguines_X	Aiguinoise_N
Aiguines_X	aiguinois_A
Aiguines_X	aiguinoise_A
Aigurande_X	Aigurandais_N
Aigurande_X	Aigurandaise_N
Aigurande_X	aigurandais_A
Aigurande_X	aigurandaise_A
Aiguèze_X	Aiguezois_N
Aiguèze_X	Aiguezoise_N
Aiguèze_X	aiguezois_A
Aiguèze_X	aiguezoise_A
Ailhon_X	Ailhonnais_N
Ailhon_X	Ailhonnaise_N
Ailhon_X	ailhonnais_A
Ailhon_X	ailhonnaise_A
Aillas_X	Aillassais_N
Aillas_X	Aillassaise_N
Aillas_X	aillassais_A
Aillas_X	aillassaise_A
Ailleux_X	Ailleutain_N
Ailleux_X	Ailleutaine_N
Ailleux_X	ailleutain_A
Ailleux_X	ailleutaine_A
Aillevans_X	Aillevanais_N
Aillevans_X	Aillevanaise_N
Aillevans_X	aillevanais_A
Aillevans_X	aillevanaise_A
Ailleville_X	Aillevillois_N
Ailleville_X	Aillevilloise_N
Ailleville_X	aillevillois_A
Ailleville_X	aillevilloise_A
Aillianville_X	Aillianvillois_N
Aillianville_X	Aillianvilloise_N
Aillianville_X	aillianvillois_A
Aillianville_X	aillianvilloise_A
Aimargues_X	Aimarguois_N
Aimargues_X	Aimarguoise_N
Aimargues_X	aimarguois_A
Aimargues_X	aimarguoise_A
Aime_X	Aimerain_N
Aime_X	Aimeraine_N
Aime_X	aimerain_A
Aimé_N	Aimée_N
Aimée_N	Aimé_N
Aincourt_X	Aincourtois_N
Aincourt_X	Aincourtoise_N
Aincourt_X	aincourtois_A
Aincourt_X	aincourtoise_A
Aineffe_X	Aineffois_N
Aineffe_X	Aineffoise_N
Aineffe_X	aineffois_A
Aingeray_X	Aingerois_N
Aingeray_X	Aingeroise_N
Aingeray_X	aingerois_A
Aingeray_X	aingeroise_A
Aingeville_X	Aingevillois_N
Aingeville_X	Aingevilloise_N
Aingeville_X	aingevillois_A
Aingeville_X	aingevilloise_A
Aingoulaincourt_X	Aingoulaincourtois_N
Aingoulaincourt_X	Aingoulaincourtoise_N
Aingoulaincourt_X	aingoulaincourtois_A
Aingoulaincourt_X	aingoulaincourtoise_A
Ainois_N	ainois_A
Ainvelle_X	Ainvellois_N
Ainvelle_X	Ainvelloise_N
Ainvelle_X	ainvellois_A
Ainvelle_X	ainvelloise_A
Airaines_X	Airainois_N
Airaines_X	Airainoise_N
Airaines_X	airainois_A
Airaines_X	airainoise_A
Airan_X	Airannais_N
Airan_X	Airannaise_N
Airan_X	airannais_A
Airbnb_X	airbnbiser_V
Airion_X	Airionnais_N
Airion_X	Airionnaise_N
Airion_X	airionnais_A
Airion_X	airionnaise_A
Airoux_X	Airouxois_N
Airoux_X	Airouxoise_N
Airoux_X	airouxois_A
Airoux_X	airouxoise_A
Airvault_X	Airvaudais_N
Airvault_X	Airvaudaise_N
Airvault_X	airvaudais_A
Airvault_X	airvaudaise_A
Aisemont_X	Aisemontois_N
Aisemont_X	Aisemontoise_N
Aisemont_X	aisemontois_A
Aiserey_X	Aiseréen_N
Aiserey_X	Aiseréenne_N
Aiserey_X	aiseréen_A
Aiserey_X	aiseréenne_A
Aiton_X	Aitonin_N
Aiton_X	Aitonine_N
Aiton_X	aitonin_A
Aiton_X	aitonine_A
Aix_X	Aixois_N
Aix_X	Aixoise_N
Aix_X	Aquisextain_N
Aix_X	aixois_A
Aix_X	aixoise_A
Aix_X	aquisextain_A
Aix_X	aquisextaine_A
Aizac_X	Aizacois_N
Aizac_X	Aizacoise_N
